District,break_year,p_value
Achham,2010,1
Arghakhanchi,2000,0.029426916
Baglung,2010,1
Baitadi,1999,0.00995657
Bajhang,2000,0.002232707
Bajura,2010,1
Banke,2000,0.001574326
Bara,2000,0.000805104
Bardiya,2010,1
Bhaktapur,2000,0.002000347
Bhojpur,2002,7.15468281523478e-05
Chitawan,2000,1.25651318534521e-05
Dadeldhura,2010,1
Dailekh,1999,1.06842963864085e-05
Dang,2010,1
Darchula,2010,1
Dhading,2000,0.04555256
Dhankuta,2002,0.006927549
Dhanusha,2001,0.01002021
Dolakha,2010,1
Dolpa,2010,1
Doti,2000,0.017188276
Gorakha,2010,1
Gulmi,1999,2.51196745222741e-10
Humla,2010,1
Ilam,2000,1.72629587392624e-13
Jajarkot,2010,1
Jhapa,2000,2.64434938592537e-15
Jumla,2010,1
Kailali,2000,0.002755745
Kalikot,2010,1
Kanchanpur,2010,1
Kapilvastu,2002,2.68307760554653e-08
Kaski,2000,0.010877781
Kathmandu,2000,0.020773692
Kavre,2000,0.005279477
Khotang,2000,0.000311373
Lalitpur,2010,1
Lamjung,2010,1
Mahottari,2001,0.024773592
Makawanpur,2000,2.59293704588356e-07
Manang,2010,1
Morang,2001,2.34663443475376e-06
Mugu,2010,1
Mustang,2010,1
Myagdi,2010,1
Nawalparasi,2000,5.21E-10
Nuwakot,2000,0.042318304
Okhaldhunga,2010,1
Palpa,2000,0.001978764
Panchathar,2000,0.017351809
Parsa,2001,0.000499747
Parvat,2000,0.036257587
Pyuthan,2010,1
Ramechhap,2000,0.018001644
Rasuwa,2010,1
Rautahat,2000,0.000183864
Rolpa,1996,1
Rukum,1996,1
Rupandehi,2001,2.37833601393875e-07
Salyan,2010,1
Sankhuwasabha,2000,0.034887119
Saptari,2000,5.87E-12
Sarlahi,2000,8.4881596700887e-15
Sindhuli,2010,1
Sindhupalchowk,2000,0.000492463
Siraha,2000,0.003781493
Solukhumbu,2010,1
Sunsari,2000,0.004522039
Surkhet,2010,1
Syangja,1999,1.38377145449246e-07
Tanahu,2010,1
Taplejung,2000,0.003429884
Terhathum,2000,0.000259792
Udaypur,2001,0.012094935